Count: 9096 Words
Lemma	Form	Analysis
ciwan	ciwan-it-in	ADJ;PSS2S;[COP3P]
ciwan	ciwan-it-da	ADJ;PSS2S;[DA]
ciwan	ciwan-it-da-m	ADJ;PSS2S;[DA];[COP1S]
ciwan	ciwan-it-da-yt	ADJ;PSS2S;[DA];[COP2S]
ciwan	ciwan-it-da-ye	ADJ;PSS2S;[DA];[COP3S]
ciwan	ciwan-it-da-yn	ADJ;PSS2S;[DA];[COP1P]
ciwan	ciwan-it-da-n	ADJ;PSS2S;[DA];[COP2P]
ciwan	ciwan-it-da-n	ADJ;PSS2S;[DA];[COP3P]
ciwan	ciwan-it-ewe	ADJ;PSS2S;[EWE]
ciwan	ciwan-it-ewe-m	ADJ;PSS2S;[EWE];[COP1S]
ciwan	ciwan-it-ewe-yt	ADJ;PSS2S;[EWE];[COP2S]
ciwan	ciwan-it-ewe-ye	ADJ;PSS2S;[EWE];[COP3S]
ciwan	ciwan-it-ewe-yn	ADJ;PSS2S;[EWE];[COP1P]
ciwan	ciwan-it-ewe-n	ADJ;PSS2S;[EWE];[COP2P]
ciwan	ciwan-it-ewe-n	ADJ;PSS2S;[EWE];[COP3P]
ciwan	ciwan-î	ADJ;PSS3S
ciwan	ciwan-y-im	ADJ;PSS3S;[COP1S]
ciwan	ciwan-y-ît	ADJ;PSS3S;[COP2S]
ciwan	ciwan-ye-tî	ADJ;PSS3S;[COP3S]
ciwan	ciwan-y-în	ADJ;PSS3S;[COP1P]
ciwan	ciwan-y-in	ADJ;PSS3S;[COP2P]
ciwan	ciwan-y-in	ADJ;PSS3S;[COP3P]
ciwan	ciwan-î-da	ADJ;PSS3S;[DA]
ciwan	ciwan-î-da-m	ADJ;PSS3S;[DA];[COP1S]
ciwan	ciwan-î-da-yt	ADJ;PSS3S;[DA];[COP2S]
ciwan	ciwan-î-da-ye	ADJ;PSS3S;[DA];[COP3S]
ciwan	ciwan-î-da-yn	ADJ;PSS3S;[DA];[COP1P]
ciwan	ciwan-î-da-n	ADJ;PSS3S;[DA];[COP2P]
ciwan	ciwan-î-da-n	ADJ;PSS3S;[DA];[COP3P]
ciwan	ciwan-î-yewe	ADJ;PSS3S;[EWE]
ciwan	ciwan-î-yewe-m	ADJ;PSS3S;[EWE];[COP1S]
ciwan	ciwan-î-yewe-yt	ADJ;PSS3S;[EWE];[COP2S]
ciwan	ciwan-î-yewe-ye	ADJ;PSS3S;[EWE];[COP3S]
ciwan	ciwan-î-yewe-yn	ADJ;PSS3S;[EWE];[COP1P]
ciwan	ciwan-î-yewe-n	ADJ;PSS3S;[EWE];[COP2P]
ciwan	ciwan-î-yewe-n	ADJ;PSS3S;[EWE];[COP3P]
ciwan	ciwan-man	ADJ;PSS1P
ciwan	ciwan-man-im	ADJ;PSS1P;[COP1S]
ciwan	ciwan-man-ît	ADJ;PSS1P;[COP2S]
ciwan	ciwan-man-e	ADJ;PSS1P;[COP3S]
ciwan	ciwan-man-în	ADJ;PSS1P;[COP1P]
ciwan	ciwan-man-in	ADJ;PSS1P;[COP2P]
ciwan	ciwan-man-in	ADJ;PSS1P;[COP3P]
ciwan	ciwan-man-da	ADJ;PSS1P;[DA]
ciwan	ciwan-man-da-m	ADJ;PSS1P;[DA];[COP1S]
ciwan	ciwan-man-da-yt	ADJ;PSS1P;[DA];[COP2S]
ciwan	ciwan-man-da-ye	ADJ;PSS1P;[DA];[COP3S]
ciwan	ciwan-man-da-yn	ADJ;PSS1P;[DA];[COP1P]
ciwan	ciwan-man-da-n	ADJ;PSS1P;[DA];[COP2P]
ciwan	ciwan-man-da-n	ADJ;PSS1P;[DA];[COP3P]
ciwan	ciwan-man-ewe	ADJ;PSS1P;[EWE]
ciwan	ciwan-man-ewe-m	ADJ;PSS1P;[EWE];[COP1S]
ciwan	ciwan-man-ewe-yt	ADJ;PSS1P;[EWE];[COP2S]
ciwan	ciwan-man-ewe-ye	ADJ;PSS1P;[EWE];[COP3S]
ciwan	ciwan-man-ewe-yn	ADJ;PSS1P;[EWE];[COP1P]
ciwan	ciwan-man-ewe-n	ADJ;PSS1P;[EWE];[COP2P]
ciwan	ciwan-man-ewe-n	ADJ;PSS1P;[EWE];[COP3P]
ciwan	ciwan-tan	ADJ;PSS2P
ciwan	ciwan-tan-im	ADJ;PSS2P;[COP1S]
ciwan	ciwan-tan-ît	ADJ;PSS2P;[COP2S]
ciwan	ciwan-tan-e	ADJ;PSS2P;[COP3S]
ciwan	ciwan-tan-în	ADJ;PSS2P;[COP1P]
ciwan	ciwan-tan-in	ADJ;PSS2P;[COP2P]
ciwan	ciwan-tan-in	ADJ;PSS2P;[COP3P]
ciwan	ciwan-tan-da	ADJ;PSS2P;[DA]
ciwan	ciwan-tan-da-m	ADJ;PSS2P;[DA];[COP1S]
ciwan	ciwan-tan-da-yt	ADJ;PSS2P;[DA];[COP2S]
ciwan	ciwan-tan-da-ye	ADJ;PSS2P;[DA];[COP3S]
ciwan	ciwan-tan-da-yn	ADJ;PSS2P;[DA];[COP1P]
ciwan	ciwan-tan-da-n	ADJ;PSS2P;[DA];[COP2P]
ciwan	ciwan-tan-da-n	ADJ;PSS2P;[DA];[COP3P]
ciwan	ciwan-tan-ewe	ADJ;PSS2P;[EWE]
ciwan	ciwan-tan-ewe-m	ADJ;PSS2P;[EWE];[COP1S]
ciwan	ciwan-tan-ewe-yt	ADJ;PSS2P;[EWE];[COP2S]
ciwan	ciwan-tan-ewe-ye	ADJ;PSS2P;[EWE];[COP3S]
ciwan	ciwan-tan-ewe-yn	ADJ;PSS2P;[EWE];[COP1P]
ciwan	ciwan-tan-ewe-n	ADJ;PSS2P;[EWE];[COP2P]
ciwan	ciwan-tan-ewe-n	ADJ;PSS2P;[EWE];[COP3P]
ciwan	ciwan-yan	ADJ;PSS3P
ciwan	ciwan-yan-im	ADJ;PSS3P;[COP1S]
ciwan	ciwan-yan-ît	ADJ;PSS3P;[COP2S]
ciwan	ciwan-yan-e	ADJ;PSS3P;[COP3S]
ciwan	ciwan-yan-în	ADJ;PSS3P;[COP1P]
ciwan	ciwan-yan-in	ADJ;PSS3P;[COP2P]
ciwan	ciwan-yan-in	ADJ;PSS3P;[COP3P]
ciwan	ciwan-yan-da	ADJ;PSS3P;[DA]
ciwan	ciwan-yan-da-m	ADJ;PSS3P;[DA];[COP1S]
ciwan	ciwan-yan-da-yt	ADJ;PSS3P;[DA];[COP2S]
ciwan	ciwan-yan-da-ye	ADJ;PSS3P;[DA];[COP3S]
ciwan	ciwan-yan-da-yn	ADJ;PSS3P;[DA];[COP1P]
ciwan	ciwan-yan-da-n	ADJ;PSS3P;[DA];[COP2P]
ciwan	ciwan-yan-da-n	ADJ;PSS3P;[DA];[COP3P]
ciwan	ciwan-yan-ewe	ADJ;PSS3P;[EWE]
ciwan	ciwan-yan-ewe-m	ADJ;PSS3P;[EWE];[COP1S]
ciwan	ciwan-yan-ewe-yt	ADJ;PSS3P;[EWE];[COP2S]
ciwan	ciwan-yan-ewe-ye	ADJ;PSS3P;[EWE];[COP3S]
ciwan	ciwan-yan-ewe-yn	ADJ;PSS3P;[EWE];[COP1P]
ciwan	ciwan-yan-ewe-n	ADJ;PSS3P;[EWE];[COP2P]
ciwan	ciwan-yan-ewe-n	ADJ;PSS3P;[EWE];[COP3P]
ciwan	ciwan-îş	ADJ;[ÎŞ]
ciwan	ciwan-îş-im	ADJ;[ÎŞ];[COP1S]
ciwan	ciwan-îş-ît	ADJ;[ÎŞ];[COP2S]
ciwan	ciwan-îş-e	ADJ;[ÎŞ];[COP3S]
ciwan	ciwan-îş-în	ADJ;[ÎŞ];[COP1P]
ciwan	ciwan-îş-in	ADJ;[ÎŞ];[COP2P]
ciwan	ciwan-îş-in	ADJ;[ÎŞ];[COP3P]
ciwan	ciwan-îş-da	ADJ;[ÎŞ];[DA]
ciwan	ciwan-îş-da-m	ADJ;[ÎŞ];[DA];[COP1S]
ciwan	ciwan-îş-da-yt	ADJ;[ÎŞ];[DA];[COP2S]
ciwan	ciwan-îş-da-ye	ADJ;[ÎŞ];[DA];[COP3S]
ciwan	ciwan-îş-da-yn	ADJ;[ÎŞ];[DA];[COP1P]
ciwan	ciwan-îş-da-n	ADJ;[ÎŞ];[DA];[COP2P]
ciwan	ciwan-îş-da-n	ADJ;[ÎŞ];[DA];[COP3P]
ciwan	ciwan-îş-ewe	ADJ;[ÎŞ];[EWE]
ciwan	ciwan-îş-ewe-m	ADJ;[ÎŞ];[EWE];[COP1S]
ciwan	ciwan-îş-ewe-yt	ADJ;[ÎŞ];[EWE];[COP2S]
ciwan	ciwan-îş-ewe-ye	ADJ;[ÎŞ];[EWE];[COP3S]
ciwan	ciwan-îş-ewe-yn	ADJ;[ÎŞ];[EWE];[COP1P]
ciwan	ciwan-îş-ewe-n	ADJ;[ÎŞ];[EWE];[COP2P]
ciwan	ciwan-îş-ewe-n	ADJ;[ÎŞ];[EWE];[COP3P]
ciwan	ciwan-îş-im	ADJ;[ÎŞ];PSS1S
ciwan	ciwan-îş-im-im	ADJ;[ÎŞ];PSS1S;[COP1S]
ciwan	ciwan-îş-im-ît	ADJ;[ÎŞ];PSS1S;[COP2S]
ciwan	ciwan-îş-im-e	ADJ;[ÎŞ];PSS1S;[COP3S]
ciwan	ciwan-îş-im-în	ADJ;[ÎŞ];PSS1S;[COP1P]
ciwan	ciwan-îş-im-in	ADJ;[ÎŞ];PSS1S;[COP2P]
ciwan	ciwan-îş-im-in	ADJ;[ÎŞ];PSS1S;[COP3P]
ciwan	ciwan-îş-im-da	ADJ;[ÎŞ];PSS1S;[DA]
ciwan	ciwan-îş-im-da-m	ADJ;[ÎŞ];PSS1S;[DA];[COP1S]
ciwan	ciwan-îş-im-da-yt	ADJ;[ÎŞ];PSS1S;[DA];[COP2S]
ciwan	ciwan-îş-im-da-ye	ADJ;[ÎŞ];PSS1S;[DA];[COP3S]
ciwan	ciwan-îş-im-da-yn	ADJ;[ÎŞ];PSS1S;[DA];[COP1P]
ciwan	ciwan-îş-im-da-n	ADJ;[ÎŞ];PSS1S;[DA];[COP2P]
ciwan	ciwan-îş-im-da-n	ADJ;[ÎŞ];PSS1S;[DA];[COP3P]
ciwan	ciwan-îş-im-ewe	ADJ;[ÎŞ];PSS1S;[EWE]
ciwan	ciwan-îş-im-ewe-m	ADJ;[ÎŞ];PSS1S;[EWE];[COP1S]
ciwan	ciwan-îş-im-ewe-yt	ADJ;[ÎŞ];PSS1S;[EWE];[COP2S]
ciwan	ciwan-îş-im-ewe-ye	ADJ;[ÎŞ];PSS1S;[EWE];[COP3S]
ciwan	ciwan-îş-im-ewe-yn	ADJ;[ÎŞ];PSS1S;[EWE];[COP1P]
ciwan	ciwan-îş-im-ewe-n	ADJ;[ÎŞ];PSS1S;[EWE];[COP2P]
ciwan	ciwan-îş-im-ewe-n	ADJ;[ÎŞ];PSS1S;[EWE];[COP3P]
ciwan	ciwan-îş-it	ADJ;[ÎŞ];PSS2S
ciwan	ciwan-îş-it-im	ADJ;[ÎŞ];PSS2S;[COP1S]
ciwan	ciwan-îş-it-ît	ADJ;[ÎŞ];PSS2S;[COP2S]
ciwan	ciwan-îş-it-e	ADJ;[ÎŞ];PSS2S;[COP3S]
ciwan	ciwan-îş-it-în	ADJ;[ÎŞ];PSS2S;[COP1P]
ciwan	ciwan-îş-it-in	ADJ;[ÎŞ];PSS2S;[COP2P]
ciwan	ciwan-îş-it-in	ADJ;[ÎŞ];PSS2S;[COP3P]
ciwan	ciwan-îş-it-da	ADJ;[ÎŞ];PSS2S;[DA]
ciwan	ciwan-îş-it-da-m	ADJ;[ÎŞ];PSS2S;[DA];[COP1S]
ciwan	ciwan-îş-it-da-yt	ADJ;[ÎŞ];PSS2S;[DA];[COP2S]
ciwan	ciwan-îş-it-da-ye	ADJ;[ÎŞ];PSS2S;[DA];[COP3S]
ciwan	ciwan-îş-it-da-yn	ADJ;[ÎŞ];PSS2S;[DA];[COP1P]
ciwan	ciwan-îş-it-da-n	ADJ;[ÎŞ];PSS2S;[DA];[COP2P]
ciwan	ciwan-îş-it-da-n	ADJ;[ÎŞ];PSS2S;[DA];[COP3P]
ciwan	ciwan-îş-it-ewe	ADJ;[ÎŞ];PSS2S;[EWE]
ciwan	ciwan-îş-it-ewe-m	ADJ;[ÎŞ];PSS2S;[EWE];[COP1S]
ciwan	ciwan-îş-it-ewe-yt	ADJ;[ÎŞ];PSS2S;[EWE];[COP2S]
ciwan	ciwan-îş-it-ewe-ye	ADJ;[ÎŞ];PSS2S;[EWE];[COP3S]
ciwan	ciwan-îş-it-ewe-yn	ADJ;[ÎŞ];PSS2S;[EWE];[COP1P]
ciwan	ciwan-îş-it-ewe-n	ADJ;[ÎŞ];PSS2S;[EWE];[COP2P]
ciwan	ciwan-îş-it-ewe-n	ADJ;[ÎŞ];PSS2S;[EWE];[COP3P]
ciwan	ciwan-îş-î	ADJ;[ÎŞ];PSS3S
ciwan	ciwan-îş-y-im	ADJ;[ÎŞ];PSS3S;[COP1S]
ciwan	ciwan-îş-y-ît	ADJ;[ÎŞ];PSS3S;[COP2S]
ciwan	ciwan-îş-ye-tî	ADJ;[ÎŞ];PSS3S;[COP3S]
ciwan	ciwan-îş-y-în	ADJ;[ÎŞ];PSS3S;[COP1P]
ciwan	ciwan-îş-y-in	ADJ;[ÎŞ];PSS3S;[COP2P]
ciwan	ciwan-îş-y-in	ADJ;[ÎŞ];PSS3S;[COP3P]
ciwan	ciwan-îş-î-da	ADJ;[ÎŞ];PSS3S;[DA]
ciwan	ciwan-îş-î-da-m	ADJ;[ÎŞ];PSS3S;[DA];[COP1S]
ciwan	ciwan-îş-î-da-yt	ADJ;[ÎŞ];PSS3S;[DA];[COP2S]
ciwan	ciwan-îş-î-da-ye	ADJ;[ÎŞ];PSS3S;[DA];[COP3S]
ciwan	ciwan-îş-î-da-yn	ADJ;[ÎŞ];PSS3S;[DA];[COP1P]
ciwan	ciwan-îş-î-da-n	ADJ;[ÎŞ];PSS3S;[DA];[COP2P]
ciwan	ciwan-îş-î-da-n	ADJ;[ÎŞ];PSS3S;[DA];[COP3P]
ciwan	ciwan-îş-î-yewe	ADJ;[ÎŞ];PSS3S;[EWE]
ciwan	ciwan-îş-î-yewe-m	ADJ;[ÎŞ];PSS3S;[EWE];[COP1S]
ciwan	ciwan-îş-î-yewe-yt	ADJ;[ÎŞ];PSS3S;[EWE];[COP2S]
ciwan	ciwan-îş-î-yewe-ye	ADJ;[ÎŞ];PSS3S;[EWE];[COP3S]
ciwan	ciwan-îş-î-yewe-yn	ADJ;[ÎŞ];PSS3S;[EWE];[COP1P]
ciwan	ciwan-îş-î-yewe-n	ADJ;[ÎŞ];PSS3S;[EWE];[COP2P]
ciwan	ciwan-îş-î-yewe-n	ADJ;[ÎŞ];PSS3S;[EWE];[COP3P]
ciwan	ciwan-îş-man	ADJ;[ÎŞ];PSS1P
ciwan	ciwan-îş-man-im	ADJ;[ÎŞ];PSS1P;[COP1S]
ciwan	ciwan-îş-man-ît	ADJ;[ÎŞ];PSS1P;[COP2S]
ciwan	ciwan-îş-man-e	ADJ;[ÎŞ];PSS1P;[COP3S]
ciwan	ciwan-îş-man-în	ADJ;[ÎŞ];PSS1P;[COP1P]
ciwan	ciwan-îş-man-in	ADJ;[ÎŞ];PSS1P;[COP2P]
ciwan	ciwan-îş-man-in	ADJ;[ÎŞ];PSS1P;[COP3P]
ciwan	ciwan-îş-man-da	ADJ;[ÎŞ];PSS1P;[DA]
ciwan	ciwan-îş-man-da-m	ADJ;[ÎŞ];PSS1P;[DA];[COP1S]
ciwan	ciwan-îş-man-da-yt	ADJ;[ÎŞ];PSS1P;[DA];[COP2S]
ciwan	ciwan-îş-man-da-ye	ADJ;[ÎŞ];PSS1P;[DA];[COP3S]
ciwan	ciwan-îş-man-da-yn	ADJ;[ÎŞ];PSS1P;[DA];[COP1P]
ciwan	ciwan-îş-man-da-n	ADJ;[ÎŞ];PSS1P;[DA];[COP2P]
ciwan	ciwan-îş-man-da-n	ADJ;[ÎŞ];PSS1P;[DA];[COP3P]
ciwan	ciwan-îş-man-ewe	ADJ;[ÎŞ];PSS1P;[EWE]
ciwan	ciwan-îş-man-ewe-m	ADJ;[ÎŞ];PSS1P;[EWE];[COP1S]
ciwan	ciwan-îş-man-ewe-yt	ADJ;[ÎŞ];PSS1P;[EWE];[COP2S]
ciwan	ciwan-îş-man-ewe-ye	ADJ;[ÎŞ];PSS1P;[EWE];[COP3S]
ciwan	ciwan-îş-man-ewe-yn	ADJ;[ÎŞ];PSS1P;[EWE];[COP1P]
ciwan	ciwan-îş-man-ewe-n	ADJ;[ÎŞ];PSS1P;[EWE];[COP2P]
ciwan	ciwan-îş-man-ewe-n	ADJ;[ÎŞ];PSS1P;[EWE];[COP3P]
ciwan	ciwan-îş-tan	ADJ;[ÎŞ];PSS2P
ciwan	ciwan-îş-tan-im	ADJ;[ÎŞ];PSS2P;[COP1S]
ciwan	ciwan-îş-tan-ît	ADJ;[ÎŞ];PSS2P;[COP2S]
ciwan	ciwan-îş-tan-e	ADJ;[ÎŞ];PSS2P;[COP3S]
ciwan	ciwan-îş-tan-în	ADJ;[ÎŞ];PSS2P;[COP1P]
ciwan	ciwan-îş-tan-in	ADJ;[ÎŞ];PSS2P;[COP2P]
ciwan	ciwan-îş-tan-in	ADJ;[ÎŞ];PSS2P;[COP3P]
ciwan	ciwan-îş-tan-da	ADJ;[ÎŞ];PSS2P;[DA]
ciwan	ciwan-îş-tan-da-m	ADJ;[ÎŞ];PSS2P;[DA];[COP1S]
ciwan	ciwan-îş-tan-da-yt	ADJ;[ÎŞ];PSS2P;[DA];[COP2S]
ciwan	ciwan-îş-tan-da-ye	ADJ;[ÎŞ];PSS2P;[DA];[COP3S]
ciwan	ciwan-îş-tan-da-yn	ADJ;[ÎŞ];PSS2P;[DA];[COP1P]
ciwan	ciwan-îş-tan-da-n	ADJ;[ÎŞ];PSS2P;[DA];[COP2P]
ciwan	ciwan-îş-tan-da-n	ADJ;[ÎŞ];PSS2P;[DA];[COP3P]
ciwan	ciwan-îş-tan-ewe	ADJ;[ÎŞ];PSS2P;[EWE]
ciwan	ciwan-îş-tan-ewe-m	ADJ;[ÎŞ];PSS2P;[EWE];[COP1S]
ciwan	ciwan-îş-tan-ewe-yt	ADJ;[ÎŞ];PSS2P;[EWE];[COP2S]
ciwan	ciwan-îş-tan-ewe-ye	ADJ;[ÎŞ];PSS2P;[EWE];[COP3S]
ciwan	ciwan-îş-tan-ewe-yn	ADJ;[ÎŞ];PSS2P;[EWE];[COP1P]
ciwan	ciwan-îş-tan-ewe-n	ADJ;[ÎŞ];PSS2P;[EWE];[COP2P]
ciwan	ciwan-îş-tan-ewe-n	ADJ;[ÎŞ];PSS2P;[EWE];[COP3P]
ciwan	ciwan-îş-yan	ADJ;[ÎŞ];PSS3P
ciwan	ciwan-îş-yan-im	ADJ;[ÎŞ];PSS3P;[COP1S]
ciwan	ciwan-îş-yan-ît	ADJ;[ÎŞ];PSS3P;[COP2S]
ciwan	ciwan-îş-yan-e	ADJ;[ÎŞ];PSS3P;[COP3S]
ciwan	ciwan-îş-yan-în	ADJ;[ÎŞ];PSS3P;[COP1P]
ciwan	ciwan-îş-yan-in	ADJ;[ÎŞ];PSS3P;[COP2P]
ciwan	ciwan-îş-yan-in	ADJ;[ÎŞ];PSS3P;[COP3P]
ciwan	ciwan-îş-yan-da	ADJ;[ÎŞ];PSS3P;[DA]
ciwan	ciwan-îş-yan-da-m	ADJ;[ÎŞ];PSS3P;[DA];[COP1S]
ciwan	ciwan-îş-yan-da-yt	ADJ;[ÎŞ];PSS3P;[DA];[COP2S]
ciwan	ciwan-îş-yan-da-ye	ADJ;[ÎŞ];PSS3P;[DA];[COP3S]
ciwan	ciwan-îş-yan-da-yn	ADJ;[ÎŞ];PSS3P;[DA];[COP1P]
ciwan	ciwan-îş-yan-da-n	ADJ;[ÎŞ];PSS3P;[DA];[COP2P]
ciwan	ciwan-îş-yan-da-n	ADJ;[ÎŞ];PSS3P;[DA];[COP3P]
ciwan	ciwan-îş-yan-ewe	ADJ;[ÎŞ];PSS3P;[EWE]
ciwan	ciwan-îş-yan-ewe-m	ADJ;[ÎŞ];PSS3P;[EWE];[COP1S]
ciwan	ciwan-îş-yan-ewe-yt	ADJ;[ÎŞ];PSS3P;[EWE];[COP2S]
ciwan	ciwan-îş-yan-ewe-ye	ADJ;[ÎŞ];PSS3P;[EWE];[COP3S]
ciwan	ciwan-îş-yan-ewe-yn	ADJ;[ÎŞ];PSS3P;[EWE];[COP1P]
ciwan	ciwan-îş-yan-ewe-n	ADJ;[ÎŞ];PSS3P;[EWE];[COP2P]
ciwan	ciwan-îş-yan-ewe-n	ADJ;[ÎŞ];PSS3P;[EWE];[COP3P]
ciwan	ciwan-eke	ADJ;DEF
ciwan	ciwan-eke-m	ADJ;DEF;[COP1S]
ciwan	ciwan-eke-yt	ADJ;DEF;[COP2S]
ciwan	ciwan-eke-ye	ADJ;DEF;[COP3S]
ciwan	ciwan-eke-yn	ADJ;DEF;[COP1P]
ciwan	ciwan-eke-n	ADJ;DEF;[COP2P]
ciwan	ciwan-eke-n	ADJ;DEF;[COP3P]
ciwan	ciwan-eke-da	ADJ;DEF;[DA]
ciwan	ciwan-eke-da-m	ADJ;DEF;[DA];[COP1S]
ciwan	ciwan-eke-da-yt	ADJ;DEF;[DA];[COP2S]
ciwan	ciwan-eke-da-ye	ADJ;DEF;[DA];[COP3S]
ciwan	ciwan-eke-da-yn	ADJ;DEF;[DA];[COP1P]
ciwan	ciwan-eke-da-n	ADJ;DEF;[DA];[COP2P]
ciwan	ciwan-eke-da-n	ADJ;DEF;[DA];[COP3P]
ciwan	ciwan-eke-we	ADJ;DEF;[EWE]
ciwan	ciwan-eke-we-m	ADJ;DEF;[EWE];[COP1S]
ciwan	ciwan-eke-we-yt	ADJ;DEF;[EWE];[COP2S]
ciwan	ciwan-eke-we-ye	ADJ;DEF;[EWE];[COP3S]
ciwan	ciwan-eke-we-yn	ADJ;DEF;[EWE];[COP1P]
ciwan	ciwan-eke-we-n	ADJ;DEF;[EWE];[COP2P]
ciwan	ciwan-eke-we-n	ADJ;DEF;[EWE];[COP3P]
ciwan	ciwan-eke-m	ADJ;DEF;PSS1S
ciwan	ciwan-eke-m-im	ADJ;DEF;PSS1S;[COP1S]
ciwan	ciwan-eke-m-ît	ADJ;DEF;PSS1S;[COP2S]
ciwan	ciwan-eke-m-e	ADJ;DEF;PSS1S;[COP3S]
ciwan	ciwan-eke-m-în	ADJ;DEF;PSS1S;[COP1P]
ciwan	ciwan-eke-m-in	ADJ;DEF;PSS1S;[COP2P]
ciwan	ciwan-eke-m-in	ADJ;DEF;PSS1S;[COP3P]
ciwan	ciwan-eke-m-da	ADJ;DEF;PSS1S;[DA]
ciwan	ciwan-eke-m-da-m	ADJ;DEF;PSS1S;[DA];[COP1S]
ciwan	ciwan-eke-m-da-yt	ADJ;DEF;PSS1S;[DA];[COP2S]
ciwan	ciwan-eke-m-da-ye	ADJ;DEF;PSS1S;[DA];[COP3S]
ciwan	ciwan-eke-m-da-yn	ADJ;DEF;PSS1S;[DA];[COP1P]
ciwan	ciwan-eke-m-da-n	ADJ;DEF;PSS1S;[DA];[COP2P]
ciwan	ciwan-eke-m-da-n	ADJ;DEF;PSS1S;[DA];[COP3P]
ciwan	ciwan-eke-m-ewe	ADJ;DEF;PSS1S;[EWE]
ciwan	ciwan-eke-m-ewe-m	ADJ;DEF;PSS1S;[EWE];[COP1S]
ciwan	ciwan-eke-m-ewe-yt	ADJ;DEF;PSS1S;[EWE];[COP2S]
ciwan	ciwan-eke-m-ewe-ye	ADJ;DEF;PSS1S;[EWE];[COP3S]
ciwan	ciwan-eke-m-ewe-yn	ADJ;DEF;PSS1S;[EWE];[COP1P]
ciwan	ciwan-eke-m-ewe-n	ADJ;DEF;PSS1S;[EWE];[COP2P]
ciwan	ciwan-eke-m-ewe-n	ADJ;DEF;PSS1S;[EWE];[COP3P]
ciwan	ciwan-eke-t	ADJ;DEF;PSS2S
ciwan	ciwan-eke-t-im	ADJ;DEF;PSS2S;[COP1S]
ciwan	ciwan-eke-t-ît	ADJ;DEF;PSS2S;[COP2S]
ciwan	ciwan-eke-t-e	ADJ;DEF;PSS2S;[COP3S]
